person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26.0,male,Associate,56087.0,5,RENT,6000.0,HOMEIMPROVEMENT,7.9,0.10697666125840212,4.0,649,No,1
23.0,male,High School,63603.0,1,RENT,6000.0,DEBTCONSOLIDATION,14.22,0.09433517286920429,4.0,613,Yes,0
25.0,female,Bachelor,61228.0,4,MORTGAGE,8000.0,HOMEIMPROVEMENT,10.0,0.13065917554060233,2.0,677,No,0
25.0,male,High School,63577.0,0,RENT,6000.0,VENTURE,12.87,0.09437375151391227,4.0,590,Yes,0
25.0,female,Bachelor,63849.0,3,RENT,6000.0,VENTURE,14.96,0.09397171451393131,2.0,668,Yes,0
26.0,female,Bachelor,63443.0,2,RENT,6000.0,HOMEIMPROVEMENT,15.68,0.09457308134861214,3.0,645,No,0
24.0,male,High School,64255.0,4,RENT,6000.0,HOMEIMPROVEMENT,9.91,0.09337794724145981,4.0,611,Yes,0
22.0,female,Associate,61190.0,1,OWN,6400.0,VENTURE,6.92,0.10459225363621506,4.0,652,No,0
25.0,female,Associate,64768.0,2,RENT,6000.0,HOMEIMPROVEMENT,7.9,0.09263833992094862,4.0,684,No,0
22.0,male,Associate,60756.0,0,OWN,5000.0,EDUCATION,7.29,0.08229639870959247,4.0,622,Yes,0
24.0,male,Master,64745.0,0,RENT,6000.0,EDUCATION,11.49,0.09267124874507685,2.0,695,Yes,0
23.0,female,Bachelor,61025.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,7.66,0.09832036050798854,4.0,607,No,0
22.0,male,Associate,65575.0,0,RENT,6000.0,EDUCATION,7.42,0.09149828440716737,3.0,623,No,0
26.0,male,Associate,60780.0,4,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.01,0.16452780519907864,3.0,593,No,0
22.0,male,High School,61196.0,0,MORTGAGE,6800.0,VENTURE,6.92,0.1111183737499183,4.0,573,No,0
22.0,female,High School,60981.0,0,MORTGAGE,6000.0,PERSONAL,11.11,0.09839130220888473,3.0,572,Yes,0
22.0,female,Bachelor,66153.0,0,RENT,6000.0,PERSONAL,12.98,0.09069883451997642,3.0,697,Yes,0
24.0,male,Master,65668.0,5,RENT,6000.0,EDUCATION,7.14,0.09136870317353962,3.0,680,No,0
26.0,male,Bachelor,58463.0,2,RENT,6000.0,PERSONAL,16.45,0.10262901322203787,4.0,617,No,1
26.0,male,Associate,60778.0,4,MORTGAGE,6000.0,HOMEIMPROVEMENT,11.01,0.0987199315541808,3.0,657,Yes,0
25.0,male,Bachelor,65659.0,2,RENT,6000.0,HOMEIMPROVEMENT,8.59,0.09138122724988197,4.0,671,No,0
23.0,male,Master,65952.0,1,RENT,6000.0,EDUCATION,12.53,0.09097525473071325,4.0,681,Yes,0
23.0,female,Bachelor,66611.0,0,RENT,6000.0,VENTURE,9.91,0.09007521280269025,3.0,647,Yes,0
22.0,male,High School,60915.0,0,MORTGAGE,8800.0,VENTURE,11.11,0.14446359681523435,4.0,653,Yes,0
22.0,male,Bachelor,61353.0,0,MORTGAGE,12000.0,EDUCATION,7.29,0.19558945772822844,3.0,661,No,0
25.0,male,Bachelor,60946.0,4,MORTGAGE,4000.0,EDUCATION,13.43,0.06563187083647819,3.0,641,Yes,0
26.0,female,Associate,59304.0,0,RENT,6000.0,MEDICAL,14.59,0.10117361392148927,3.0,663,No,1
22.0,female,High School,67162.0,3,RENT,6000.0,VENTURE,10.75,0.08933623179774278,3.0,569,Yes,0
26.0,female,Master,60777.0,5,MORTGAGE,15000.0,VENTURE,10.37,0.24680388962930055,2.0,719,No,0
25.0,male,High School,61079.0,4,MORTGAGE,12000.0,PERSONAL,11.01,0.19646687077391575,2.0,659,No,0
25.0,female,High School,66819.0,3,RENT,6000.0,DEBTCONSOLIDATION,10.65,0.08979481883895299,2.0,658,No,0
22.0,male,Associate,67000.0,0,RENT,6000.0,EDUCATION,14.27,0.08955223880597014,2.0,631,Yes,0
23.0,female,Master,61095.0,2,MORTGAGE,14400.0,DEBTCONSOLIDATION,10.0,0.23569850233243309,2.0,529,Yes,0
22.0,female,Bachelor,67015.0,0,RENT,6000.0,EDUCATION,8.9,0.0895321942848616,3.0,627,Yes,0
25.0,male,Bachelor,67203.0,6,RENT,6000.0,HOMEIMPROVEMENT,11.01,0.08928172849426365,3.0,536,Yes,0
24.0,female,Bachelor,66532.0,1,RENT,6000.0,DEBTCONSOLIDATION,6.03,0.09018216797931822,4.0,666,Yes,0
22.0,male,Associate,67096.0,2,RENT,6000.0,EDUCATION,6.62,0.08942410873971622,2.0,569,Yes,0
24.0,male,High School,61087.0,1,MORTGAGE,7000.0,PERSONAL,5.42,0.11459066577176813,4.0,604,Yes,0
23.0,male,Associate,67218.0,0,RENT,6000.0,EDUCATION,10.99,0.08926180487369455,2.0,624,Yes,0
22.0,male,High School,66968.0,0,RENT,6000.0,DEBTCONSOLIDATION,6.99,0.08959503046231036,3.0,666,No,0
21.0,male,Associate,60011.0,0,RENT,6000.0,VENTURE,15.99,0.09998167002716168,4.0,640,No,1
26.0,male,High School,66915.0,4,RENT,6000.0,MEDICAL,5.42,0.08966599417171038,4.0,632,No,0
22.0,female,High School,66978.0,0,RENT,6000.0,EDUCATION,9.25,0.08958165367732689,3.0,576,No,0
22.0,male,Bachelor,60545.0,0,MORTGAGE,5150.0,DEBTCONSOLIDATION,8.88,0.0850606986538938,2.0,576,Yes,0
24.0,male,High School,60919.0,0,MORTGAGE,12000.0,MEDICAL,5.42,0.1969828789047752,2.0,611,No,0
21.0,male,High School,59812.0,0,RENT,6000.0,DEBTCONSOLIDATION,14.84,0.10031431819701732,4.0,568,No,1
26.0,female,Master,67044.0,2,RENT,6000.0,HOMEIMPROVEMENT,7.14,0.08949346697691068,4.0,547,Yes,0
21.0,female,High School,67422.0,1,RENT,6000.0,EDUCATION,10.99,0.08899172376968942,3.0,588,Yes,0
22.0,male,Associate,66898.0,0,RENT,6000.0,DEBTCONSOLIDATION,7.51,0.08968877993363031,3.0,594,No,0
22.0,male,Master,60789.0,1,MORTGAGE,7000.0,PERSONAL,9.25,0.11515241244304068,3.0,661,Yes,0
26.0,male,Doctorate,60246.0,4,RENT,6000.0,MEDICAL,16.49,0.09959167413604222,2.0,671,No,1
25.0,male,Associate,60779.0,1,MORTGAGE,12000.0,EDUCATION,11.01,0.1974366146201813,2.0,593,No,0
21.0,female,High School,67790.0,0,RENT,6000.0,MEDICAL,11.01,0.08850862959138515,4.0,600,No,0
23.0,female,Associate,68337.0,0,RENT,6000.0,EDUCATION,7.49,0.08780016682031695,4.0,669,No,0
25.0,male,High School,60809.0,5,MORTGAGE,6600.0,PERSONAL,12.61,0.10853656531105593,3.0,612,Yes,0
24.0,male,Master,60975.0,2,MORTGAGE,6000.0,PERSONAL,6.17,0.0984009840098401,2.0,660,No,0
25.0,female,Bachelor,68080.0,1,RENT,6000.0,HOMEIMPROVEMENT,10.74,0.0881316098707403,2.0,686,Yes,0
25.0,female,Associate,60846.0,1,MORTGAGE,5000.0,EDUCATION,5.79,0.08217467047957137,2.0,604,Yes,0
22.0,male,High School,60802.0,0,MORTGAGE,12800.0,DEBTCONSOLIDATION,5.79,0.21051939080951285,2.0,531,Yes,0
23.0,male,High School,60908.0,1,RENT,6000.0,DEBTCONSOLIDATION,11.48,0.0985092270309319,4.0,690,No,1
24.0,female,Associate,69542.0,3,RENT,6000.0,VENTURE,7.9,0.08627879554801415,3.0,668,No,0
25.0,male,Bachelor,69525.0,7,RENT,6000.0,PERSONAL,8.0,0.08629989212513485,3.0,651,Yes,0
22.0,female,High School,70836.0,2,RENT,6000.0,PERSONAL,6.92,0.08470269354565475,4.0,591,No,0
25.0,female,High School,70431.0,4,RENT,6000.0,MEDICAL,12.18,0.08518976019082507,4.0,577,Yes,0
21.0,female,High School,60856.0,1,MORTGAGE,15000.0,MEDICAL,6.54,0.24648350203759695,4.0,648,No,0
23.0,male,Bachelor,61208.0,0,MORTGAGE,15250.0,VENTURE,15.95,0.24915043785126129,3.0,591,Yes,0
22.0,male,High School,61457.0,0,OWN,10400.0,MEDICAL,11.01,0.16922401028361292,4.0,640,No,0
24.0,female,Master,70925.0,2,RENT,6000.0,VENTURE,12.87,0.08459640465280226,2.0,662,Yes,0
25.0,male,High School,61313.0,1,OWN,10000.0,MEDICAL,11.01,0.16309754864384388,3.0,570,Yes,0
22.0,female,Bachelor,64386.0,1,RENT,6000.0,EDUCATION,11.97,0.09318796011555307,2.0,663,No,1
22.0,male,Bachelor,61028.0,0,MORTGAGE,10000.0,VENTURE,10.36,0.16385921216490792,3.0,671,No,0
22.0,male,Master,61072.0,0,MORTGAGE,8000.0,PERSONAL,11.12,0.13099292638197538,3.0,679,Yes,0
25.0,male,Associate,72433.0,3,RENT,6000.0,MEDICAL,11.11,0.08283517181395221,2.0,624,Yes,0
24.0,male,Bachelor,72060.0,5,RENT,6000.0,DEBTCONSOLIDATION,7.9,0.08326394671107411,3.0,677,No,0
23.0,female,Master,72964.0,0,RENT,6000.0,DEBTCONSOLIDATION,11.01,0.08223233375363193,2.0,630,Yes,0
22.0,female,High School,60643.0,0,MORTGAGE,12800.0,EDUCATION,7.88,0.21107135201094931,3.0,586,Yes,0
25.0,male,Bachelor,60703.0,3,MORTGAGE,2500.0,PERSONAL,13.61,0.04118412599047823,3.0,676,No,0
22.0,female,Master,72901.0,0,RENT,6000.0,EDUCATION,11.49,0.08230339775860414,4.0,536,Yes,0
22.0,male,Bachelor,60952.0,1,OWN,5600.0,EDUCATION,11.86,0.09187557422233888,2.0,602,Yes,0
22.0,male,Bachelor,72820.0,1,RENT,6000.0,MEDICAL,11.99,0.08239494644328481,3.0,661,Yes,0
23.0,female,High School,65415.0,5,RENT,6000.0,DEBTCONSOLIDATION,15.62,0.09172208209126347,4.0,643,No,1
24.0,female,High School,60869.0,1,MORTGAGE,4000.0,MEDICAL,11.01,0.06571489592403358,2.0,635,No,0
24.0,male,High School,65885.0,3,RENT,6000.0,HOMEIMPROVEMENT,10.99,0.09106776959854292,2.0,576,No,1
21.0,male,Master,72795.0,0,RENT,6000.0,MEDICAL,11.01,0.082423243354626,4.0,657,Yes,0
25.0,female,Bachelor,72907.0,4,RENT,6000.0,PERSONAL,14.54,0.08229662446678646,3.0,582,No,0
23.0,male,Associate,65863.0,3,RENT,6000.0,DEBTCONSOLIDATION,14.09,0.09109818866434873,3.0,669,No,1
26.0,female,High School,60871.0,6,OWN,1800.0,HOMEIMPROVEMENT,11.49,0.029570731547042105,4.0,543,Yes,0
26.0,male,High School,60848.0,2,MORTGAGE,10000.0,PERSONAL,7.51,0.16434393899552985,3.0,652,Yes,0
24.0,male,Associate,61177.0,2,MORTGAGE,9000.0,HOMEIMPROVEMENT,7.14,0.14711411151249654,2.0,610,Yes,0
25.0,female,Associate,60766.0,3,MORTGAGE,4800.0,HOMEIMPROVEMENT,13.61,0.07899154132245005,2.0,634,Yes,0
24.0,male,Bachelor,73010.0,0,RENT,6000.0,MEDICAL,7.51,0.08218052321599781,3.0,616,No,0
25.0,female,Associate,61067.0,6,MORTGAGE,4000.0,DEBTCONSOLIDATION,11.01,0.06550182586339594,4.0,661,No,0
23.0,female,Associate,61062.0,0,OWN,1500.0,PERSONAL,11.49,0.02456519603026432,2.0,561,Yes,0
23.0,male,Bachelor,60907.0,0,MORTGAGE,8000.0,EDUCATION,13.61,0.1313477925361617,2.0,639,Yes,0
23.0,female,Associate,65679.0,0,RENT,6000.0,HOMEIMPROVEMENT,16.45,0.09135340063033846,2.0,677,No,1
24.0,male,Bachelor,73355.0,2,RENT,6000.0,HOMEIMPROVEMENT,11.48,0.08179401540453957,2.0,688,Yes,0
22.0,male,Master,60990.0,0,MORTGAGE,5000.0,EDUCATION,7.51,0.08198065256599442,2.0,641,Yes,0
23.0,male,Bachelor,73898.0,0,RENT,6000.0,MEDICAL,11.01,0.08119299575089989,3.0,535,Yes,0
26.0,male,High School,60707.0,7,OWN,3250.0,MEDICAL,7.51,0.05353583606503368,2.0,660,Yes,0
25.0,male,High School,74201.0,5,RENT,6000.0,EDUCATION,11.01,0.08086144391585019,4.0,646,Yes,0
23.0,male,Associate,53429.0,3,MORTGAGE,8500.0,PERSONAL,7.14,0.1590896329708585,3.0,607,No,1
22.0,female,Associate,74162.0,0,RENT,6000.0,EDUCATION,11.01,0.08090396699118146,4.0,586,Yes,0
23.0,male,Associate,61061.0,1,MORTGAGE,4000.0,PERSONAL,11.86,0.0655082622295737,3.0,637,Yes,0
25.0,male,Bachelor,61027.0,5,OWN,12000.0,VENTURE,13.98,0.19663427663165484,2.0,669,Yes,0
21.0,male,Bachelor,75167.0,0,RENT,6000.0,EDUCATION,10.25,0.07982226242899144,4.0,539,Yes,0
25.0,female,High School,75386.0,3,RENT,6000.0,VENTURE,11.01,0.07959037487066564,3.0,554,Yes,0
22.0,male,Bachelor,29532.0,3,RENT,7125.0,DEBTCONSOLIDATION,9.67,0.24126371393742382,3.0,528,Yes,0
22.0,male,Master,61303.0,1,MORTGAGE,15000.0,EDUCATION,10.25,0.2446862306901783,3.0,590,Yes,0
23.0,female,Bachelor,31397.0,1,RENT,7125.0,PERSONAL,17.58,0.2269325094754276,4.0,608,Yes,0
22.0,male,Associate,32271.0,0,RENT,7125.0,EDUCATION,5.79,0.2207864646276843,2.0,603,No,0
22.0,male,Bachelor,34921.0,0,RENT,7125.0,DEBTCONSOLIDATION,11.01,0.2040319578477134,4.0,656,No,0
24.0,male,High School,85312.0,0,RENT,7125.0,VENTURE,6.92,0.08351697299324831,2.0,669,No,0
22.0,male,High School,61034.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,9.88,0.16384310384375922,4.0,603,No,0
23.0,female,Master,31339.0,0,RENT,7100.0,PERSONAL,7.9,0.22655477200931745,2.0,634,Yes,0
25.0,male,Associate,60713.0,3,MORTGAGE,5000.0,DEBTCONSOLIDATION,11.36,0.08235468515803863,2.0,624,No,0
25.0,male,Master,40410.0,3,RENT,7100.0,VENTURE,14.65,0.17569908438505322,4.0,567,No,1
23.0,male,Bachelor,61030.0,0,MORTGAGE,20000.0,EDUCATION,10.62,0.3277076847452073,4.0,636,No,0
23.0,male,Bachelor,54029.0,3,RENT,7100.0,DEBTCONSOLIDATION,6.99,0.13141090895630125,3.0,573,No,1
25.0,male,Associate,114848.0,4,RENT,7100.0,DEBTCONSOLIDATION,6.99,0.06182084146001672,2.0,563,Yes,0
25.0,male,High School,116181.0,1,RENT,7075.0,HOMEIMPROVEMENT,5.99,0.06089635999001558,4.0,657,No,0
22.0,male,High School,61057.0,0,MORTGAGE,2500.0,EDUCATION,7.51,0.04094534615195637,4.0,656,No,0
22.0,female,Master,37920.0,0,RENT,7025.0,EDUCATION,6.54,0.1852584388185654,4.0,673,No,1
25.0,female,Bachelor,61019.0,1,MORTGAGE,18000.0,DEBTCONSOLIDATION,7.88,0.2949900850554745,2.0,668,Yes,0
22.0,female,Master,60616.0,0,OWN,6000.0,VENTURE,14.22,0.0989837666622674,2.0,669,Yes,0
21.0,male,High School,21335.0,0,RENT,7000.0,DEBTCONSOLIDATION,10.62,0.3280993672369346,2.0,640,No,1
22.0,male,High School,22534.0,1,RENT,7000.0,HOMEIMPROVEMENT,10.65,0.3106416969912133,2.0,541,No,1
25.0,female,Bachelor,61022.0,3,MORTGAGE,6000.0,PERSONAL,6.76,0.09832519419225853,3.0,600,Yes,0
23.0,male,Master,22440.0,0,RENT,7000.0,PERSONAL,7.88,0.31194295900178254,4.0,533,No,1
21.0,female,High School,22811.0,2,RENT,7000.0,HOMEIMPROVEMENT,11.14,0.3068694927885669,4.0,648,No,1
22.0,male,Associate,60871.0,0,MORTGAGE,6250.0,PERSONAL,7.88,0.10267615120500731,2.0,615,Yes,0
23.0,male,High School,23341.0,2,RENT,7000.0,EDUCATION,7.66,0.2999014609485455,4.0,632,No,1
21.0,female,Associate,24160.0,0,RENT,7000.0,HOMEIMPROVEMENT,14.35,0.2897350993377483,2.0,702,No,1
25.0,female,High School,23938.0,0,RENT,7000.0,VENTURE,16.82,0.2924220904002005,3.0,653,No,1
24.0,male,Master,60730.0,0,OWN,21000.0,VENTURE,10.62,0.34579285361435863,4.0,694,No,0
23.0,male,High School,26922.0,2,RENT,7000.0,VENTURE,6.62,0.26001040041601664,2.0,531,No,1
21.0,male,Associate,27200.0,0,RENT,7000.0,EDUCATION,13.98,0.25735294117647056,3.0,675,No,1
26.0,male,High School,28352.0,5,RENT,7000.0,HOMEIMPROVEMENT,8.0,0.2468961625282167,4.0,622,No,1
22.0,female,Bachelor,28017.0,1,RENT,7000.0,DEBTCONSOLIDATION,10.38,0.24984830638540886,3.0,649,No,1
24.0,female,Associate,28052.0,3,RENT,7000.0,DEBTCONSOLIDATION,10.62,0.24953657493226863,3.0,649,No,1
25.0,male,Bachelor,28321.0,0,RENT,7000.0,HOMEIMPROVEMENT,9.91,0.24716641361533845,4.0,680,No,1
25.0,male,High School,28670.0,0,RENT,7000.0,VENTURE,11.01,0.24415765608650156,3.0,653,No,1
23.0,female,Bachelor,60829.0,0,MORTGAGE,7000.0,VENTURE,13.48,0.11507669039438426,2.0,688,No,0
26.0,male,Associate,28297.0,1,RENT,7000.0,MEDICAL,7.51,0.24737604693077003,4.0,663,No,1
23.0,male,Associate,53915.0,0,MORTGAGE,2000.0,MEDICAL,19.13,0.03709542798850042,3.0,534,No,1
23.0,female,High School,60783.0,1,MORTGAGE,9000.0,PERSONAL,11.14,0.14806771630225557,2.0,635,Yes,0
26.0,male,High School,61150.0,4,MORTGAGE,10000.0,EDUCATION,7.74,0.1635322976287817,2.0,644,Yes,0
25.0,female,High School,28250.0,2,RENT,7000.0,DEBTCONSOLIDATION,12.49,0.24778761061946902,4.0,517,No,1
22.0,female,Associate,60720.0,0,MORTGAGE,2500.0,PERSONAL,12.18,0.04117259552042161,4.0,625,Yes,0
23.0,female,Associate,61215.0,3,MORTGAGE,9000.0,PERSONAL,11.01,0.1470227885322225,2.0,527,Yes,0
25.0,female,High School,29491.0,1,RENT,7000.0,MEDICAL,11.01,0.23736055067647757,2.0,575,Yes,0
22.0,male,Bachelor,29592.0,2,RENT,7000.0,VENTURE,12.42,0.23655041903217086,2.0,624,No,0
26.0,male,Bachelor,29935.0,5,RENT,7000.0,PERSONAL,12.99,0.23383998663771505,3.0,663,No,0
24.0,male,Associate,29722.0,1,RENT,7000.0,PERSONAL,15.62,0.23551577955723033,2.0,564,No,1
22.0,female,Bachelor,60899.0,1,MORTGAGE,2000.0,PERSONAL,12.18,0.03284126176127687,3.0,602,No,0
23.0,female,Associate,61238.0,0,OWN,5000.0,VENTURE,8.94,0.08164864953133676,3.0,637,Yes,0
22.0,male,Associate,61125.0,2,OWN,6000.0,EDUCATION,8.94,0.09815950920245399,2.0,651,Yes,0
26.0,male,Bachelor,61113.0,4,MORTGAGE,5000.0,EDUCATION,7.4,0.08181565297072636,2.0,704,No,0
24.0,male,High School,53420.0,1,MORTGAGE,15000.0,EDUCATION,15.31,0.28079371022089106,2.0,651,No,1
25.0,male,Bachelor,29752.0,6,RENT,7000.0,VENTURE,16.45,0.23527830061844582,2.0,507,No,1
22.0,female,Master,31054.0,1,RENT,7000.0,DEBTCONSOLIDATION,11.86,0.22541379532427386,2.0,656,Yes,0
21.0,female,Master,31197.0,1,RENT,7000.0,EDUCATION,12.69,0.2243805494118024,2.0,607,Yes,0
22.0,female,Bachelor,60771.0,0,MORTGAGE,10500.0,VENTURE,14.26,0.17277977982919485,2.0,676,Yes,0
22.0,female,Associate,76495.0,0,RENT,6000.0,PERSONAL,11.49,0.07843649911758939,2.0,583,Yes,0
26.0,male,Master,76591.0,5,RENT,6000.0,HOMEIMPROVEMENT,13.23,0.07833818594874072,2.0,711,Yes,0
23.0,female,Master,77101.0,0,RENT,6000.0,DEBTCONSOLIDATION,13.22,0.07782000233460007,4.0,591,Yes,0
25.0,male,High School,69915.0,4,RENT,6000.0,VENTURE,11.28,0.0858184938854323,2.0,620,No,1
24.0,female,Master,71458.0,2,RENT,6000.0,MEDICAL,15.05,0.08396540625262391,4.0,622,No,1
23.0,male,High School,79102.0,5,RENT,6000.0,EDUCATION,15.23,0.07585143232788046,3.0,620,Yes,0
23.0,female,Bachelor,79072.0,0,RENT,6000.0,EDUCATION,11.99,0.07588021044111695,2.0,627,Yes,0
26.0,male,Bachelor,78858.0,3,RENT,6000.0,EDUCATION,16.49,0.0760861294985924,2.0,694,No,0
25.0,female,High School,71714.0,1,RENT,6000.0,VENTURE,15.23,0.08366567197478875,3.0,610,No,1
23.0,female,High School,53734.0,1,MORTGAGE,15000.0,PERSONAL,12.18,0.27915286410838575,3.0,521,No,1
24.0,female,Bachelor,61054.0,0,MORTGAGE,12000.0,HOMEIMPROVEMENT,11.01,0.19654731876699316,3.0,634,No,0
22.0,female,Associate,61263.0,2,MORTGAGE,11000.0,DEBTCONSOLIDATION,8.94,0.17955372737214959,4.0,657,Yes,0
25.0,female,Master,79393.0,4,RENT,6000.0,EDUCATION,13.06,0.07557341327321049,3.0,615,Yes,0
24.0,female,Associate,79127.0,2,RENT,6000.0,MEDICAL,11.01,0.0758274672362152,2.0,677,No,0
24.0,male,High School,71742.0,2,RENT,6000.0,DEBTCONSOLIDATION,16.0,0.08363301831563101,4.0,607,No,1
23.0,male,Master,78892.0,0,RENT,6000.0,EDUCATION,9.63,0.07605333874157076,3.0,578,Yes,0
25.0,female,Associate,78916.0,2,RENT,6000.0,DEBTCONSOLIDATION,12.87,0.07603020933650971,4.0,525,No,0
21.0,male,Associate,79093.0,0,RENT,6000.0,PERSONAL,7.68,0.07586006346958643,3.0,617,Yes,0
22.0,female,Associate,60547.0,1,MORTGAGE,20000.0,EDUCATION,11.48,0.3303218986902737,2.0,672,Yes,0
22.0,male,Master,79067.0,0,RENT,6000.0,EDUCATION,16.2,0.07588500891648854,4.0,688,Yes,0
22.0,male,Bachelor,80150.0,0,RENT,6000.0,EDUCATION,9.99,0.07485963817841547,4.0,661,No,0
25.0,female,Bachelor,53694.0,5,MORTGAGE,5550.0,MEDICAL,14.11,0.10336350430215667,4.0,662,No,1
26.0,female,Associate,80895.0,1,RENT,6000.0,MEDICAL,7.29,0.07417022065640645,4.0,681,No,0
24.0,female,Bachelor,82397.0,2,RENT,6000.0,DEBTCONSOLIDATION,6.99,0.07281818512809933,3.0,563,Yes,0
24.0,female,Associate,61304.0,6,MORTGAGE,3000.0,EDUCATION,13.47,0.04893644786637087,2.0,623,Yes,0
26.0,female,Bachelor,75640.0,5,RENT,6000.0,PERSONAL,11.12,0.07932310946589106,3.0,646,No,1
26.0,female,Bachelor,53884.0,1,MORTGAGE,12000.0,MEDICAL,18.84,0.2227006161383713,3.0,688,No,1
22.0,male,Bachelor,82781.0,0,RENT,6000.0,EDUCATION,19.13,0.0724804000918085,3.0,610,No,0
25.0,female,Master,82931.0,1,RENT,6000.0,VENTURE,8.0,0.07234930243214238,3.0,646,No,0
22.0,female,Bachelor,83903.0,0,RENT,6000.0,VENTURE,7.49,0.07151114978010321,4.0,617,Yes,0
22.0,male,Bachelor,53630.0,0,MORTGAGE,16000.0,MEDICAL,14.74,0.2983404810740257,3.0,657,No,1
23.0,male,Associate,83922.0,2,RENT,6000.0,MEDICAL,7.88,0.07149495960534782,2.0,624,Yes,0
26.0,female,Associate,77144.0,3,RENT,6000.0,PERSONAL,15.21,0.0777766255314736,2.0,638,No,1
22.0,female,Bachelor,84483.0,2,RENT,6000.0,DEBTCONSOLIDATION,10.65,0.07102020524839317,4.0,633,Yes,0
22.0,male,High School,61084.0,2,MORTGAGE,9800.0,PERSONAL,16.32,0.1604348110798245,3.0,598,Yes,0
22.0,female,Associate,84527.0,3,RENT,6000.0,PERSONAL,12.99,0.07098323612573497,3.0,627,Yes,0
26.0,male,Associate,84712.0,1,RENT,6000.0,PERSONAL,9.32,0.07082821796203607,3.0,566,Yes,0
24.0,female,Bachelor,85064.0,3,RENT,6000.0,HOMEIMPROVEMENT,13.06,0.07053512649299351,2.0,664,Yes,0
26.0,female,Bachelor,85009.0,5,RENT,6000.0,PERSONAL,8.49,0.07058076203696079,4.0,578,No,0
21.0,male,Bachelor,53666.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,16.0,0.27950657772146237,2.0,691,No,1
23.0,male,High School,84748.0,1,RENT,6000.0,EDUCATION,7.49,0.07079813092934346,2.0,652,No,0
23.0,female,Associate,61085.0,0,MORTGAGE,6500.0,PERSONAL,11.01,0.10640910207088483,4.0,600,Yes,0
22.0,male,High School,60925.0,0,MORTGAGE,6400.0,EDUCATION,8.0,0.10504718916700861,2.0,683,No,0
26.0,female,Master,60708.0,4,MORTGAGE,15000.0,HOMEIMPROVEMENT,16.0,0.24708440403241747,3.0,653,No,0
25.0,male,Associate,85180.0,0,RENT,6000.0,EDUCATION,9.25,0.0704390702042733,4.0,649,Yes,0
26.0,male,High School,85326.0,6,RENT,6000.0,MEDICAL,6.17,0.07031854299978904,4.0,670,Yes,0
24.0,male,Master,60977.0,2,MORTGAGE,6000.0,HOMEIMPROVEMENT,9.63,0.09839775653115108,3.0,646,No,0
24.0,female,High School,60830.0,0,MORTGAGE,11400.0,PERSONAL,12.53,0.18740752917968106,2.0,664,Yes,0
23.0,male,Associate,85205.0,0,RENT,6000.0,EDUCATION,11.49,0.0704184026758993,4.0,702,Yes,0
22.0,female,High School,84996.0,0,RENT,6000.0,EDUCATION,11.89,0.07059155724975293,2.0,676,Yes,0
22.0,female,High School,61075.0,3,MORTGAGE,4000.0,EDUCATION,10.95,0.06549324600900532,4.0,623,Yes,0
23.0,male,Master,60781.0,0,MORTGAGE,8600.0,VENTURE,11.26,0.14149158454122177,3.0,650,Yes,0
26.0,female,Master,61010.0,5,OWN,10000.0,HOMEIMPROVEMENT,13.47,0.163907556138338,2.0,644,Yes,0
23.0,male,Master,60861.0,1,OWN,10200.0,MEDICAL,9.63,0.16759501158377285,4.0,655,Yes,0
24.0,male,High School,60891.0,2,MORTGAGE,1000.0,VENTURE,14.42,0.016422788260990952,3.0,654,No,0
22.0,male,Bachelor,86409.0,0,RENT,6000.0,MEDICAL,11.01,0.06943721140159011,4.0,610,No,0
23.0,female,Associate,79162.0,0,RENT,6000.0,EDUCATION,14.42,0.07579394153760642,3.0,565,No,1
24.0,male,Bachelor,60890.0,3,OTHER,5000.0,HOMEIMPROVEMENT,7.68,0.08211528986697324,3.0,665,Yes,0
25.0,male,Master,60947.0,0,MORTGAGE,7500.0,PERSONAL,13.8,0.12305773869099382,4.0,650,No,0
24.0,female,Master,53475.0,3,MORTGAGE,7500.0,EDUCATION,16.33,0.1402524544179523,2.0,632,No,1
26.0,male,High School,79896.0,3,RENT,6000.0,VENTURE,13.49,0.07509762691498949,2.0,519,No,1
23.0,male,Bachelor,60929.0,0,OWN,14000.0,VENTURE,10.33,0.2297756404995979,2.0,647,Yes,0
21.0,male,Associate,87409.0,0,RENT,6000.0,EDUCATION,5.42,0.06864281710121384,4.0,585,No,0
24.0,male,Associate,87327.0,0,RENT,6000.0,EDUCATION,7.66,0.06870727266481157,3.0,627,Yes,0
25.0,male,Associate,53798.0,1,MORTGAGE,7500.0,PERSONAL,10.08,0.13941038700323433,2.0,547,No,1
21.0,male,High School,54057.0,0,MORTGAGE,7500.0,VENTURE,12.92,0.13874243853709972,4.0,645,No,1
25.0,male,High School,87221.0,0,RENT,6000.0,VENTURE,11.86,0.06879077286433313,3.0,691,No,0
22.0,male,Master,61258.0,0,OWN,16000.0,VENTURE,9.45,0.2611903751346763,4.0,661,No,0
